ALTITUDE,Personal Gym
APPLE.COM/BILL,Entertainment Netflix
AUTO,Transportation AutoInsurance
A&W,Food Take-out
BALANCEPROTECTOR,Banking Fee
CHEQUE,Housing Rent
DEPANNEUR,Personal Other
DOMINO'S,Food Take-out
FIFTH,Personal Hair
GYM,Personal Gym
HYDRO,Utilities Power
INSURANCE,Housing Insurance
IGA,Food Groceries
JEAN,Personal PersonalCare
KOODO,Utilities Phone
LA,Food Take-out
LOAN,Transportation Auto
MONTHLY,Banking Fee
METRO,Food Groceries
MJMD,Food Take-out
OH SO,Food Take-out
Payment,Banking Investing
PAYMENT,Banking Investing
PAYROLL,Income Salary
PROVIGO,Food Groceries
PROVINCIAL,Banking Taxes
RONA,Personal Tools
SHELL,Transportation Fuel
STEAM,Entertainment Games
SHAWARMA,Food Take-out
SMOKES,Food Take-out
STARBUCKS,Food Coffee
SOLIDARITY,Income TaxReturn
TIM,Food Take-out
THE GREAT,Food Take-out
VIDEOTRON,Utilities Internet
WAKEFIELD,Food Take-out
KFC,Food Take-out
AMAZON,Personal Shopping
MAGASIN,Personal Other
CAFE,Food Coffee
ULTRAMAR,Transportation Fuel
MOBILE,Income TaxReturn
AUTOMOBILE,Transportation Auto
UBISOFT,Entertainment Games
SAAQ-REGISTRATI,Banking Taxes
E-TRANSFER,Personal Other
PPARKLINK,Transportation Other
CINEPLEX,Entertainment Cinema
LCBO/RAO,Food Take-out
STEAMGAMES.COM, Entertainment Games
SUBARU,Transportation Maintenance
GABRIEL,Food Take-out
REV,Banking Taxes
GOG.COM,Entertainment Games
COUCHE-TARD,Personal Other
WINNERS,Personal Clothes
JUSTICE,Personal Other
ACTIVISION,Entertainment Games
LA POUTINERIE,Food Take-out
