Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
,,1/1/2020,,PAYROLL DEPOSIT,,7000,
,,1/2/2020,,CHEQUE - # 059,,-500,
,,1/2/2020,,INSURANCE,,-200,
,,1/2/2020,,LOAN,,-400,
,,1/2/2020,,AUTO INSURANCE,,-150,
,,1/2/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,1/2/2020,,HYDRO BILL PMT,,-250,
,,1/2/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,1/2/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,1/2/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,1/2/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,1/2/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,1/2/2020,,Payment,,-900,
,,1/2/2020,,MONTHLY FEE,,-100,
,,1/2/2020,,STEAM,,-400,
,,1/2/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,1/2/2020,,CINEPLEX,,-100,
,,1/2/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,1/2/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,1/2/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,1/2/2020,,WINNERS,,-100,
,,2/1/2020,,PAYROLL DEPOSIT,,5000,
,,2/1/2020,,CHEQUE - # 059,,-500,
,,2/1/2020,,INSURANCE,,-200,
,,2/1/2020,,LOAN,,-400,
,,2/1/2020,,AUTO INSURANCE,,-150,
,,2/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,2/1/2020,,HYDRO BILL PMT,,-250,
,,2/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,2/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,2/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,2/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,2/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,2/1/2020,,Payment,,-900,
,,2/1/2020,,MONTHLY FEE,,-100,
,,2/1/2020,,STEAM,,-400,
,,2/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,2/1/2020,,CINEPLEX,,-100,
,,2/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,2/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,2/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,2/1/2020,,WINNERS,,-100,
,,3/1/2020,,PAYROLL DEPOSIT,,5000,
,,3/1/2020,,CHEQUE - # 059,,-500,
,,3/1/2020,,INSURANCE,,-200,
,,3/1/2020,,LOAN,,-400,
,,3/1/2020,,AUTO INSURANCE,,-150,
,,3/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,3/1/2020,,HYDRO BILL PMT,,-250,
,,3/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,3/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,3/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,3/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,3/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,3/1/2020,,Payment,,-900,
,,3/1/2020,,MONTHLY FEE,,-100,
,,3/1/2020,,STEAM,,-400,
,,3/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,3/1/2020,,CINEPLEX,,-100,
,,3/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,3/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,3/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,3/1/2020,,WINNERS,,-100,
,,4/1/2020,,PAYROLL DEPOSIT,,4000,
,,4/1/2020,,CHEQUE - # 059,,-500,
,,4/1/2020,,INSURANCE,,-200,
,,4/1/2020,,LOAN,,-400,
,,4/1/2020,,AUTO INSURANCE,,-150,
,,4/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,4/1/2020,,HYDRO BILL PMT,,-250,
,,4/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,4/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,4/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,4/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,4/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,4/1/2020,,Payment,,-900,
,,4/1/2020,,MONTHLY FEE,,-100,
,,4/1/2020,,STEAM,,-400,
,,4/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,4/1/2020,,CINEPLEX,,-100,
,,4/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,4/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,4/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,4/1/2020,,WINNERS,,-100,
,,5/1/2020,,PAYROLL DEPOSIT,,4000,
,,5/1/2020,,CHEQUE - # 059,,-500,
,,5/1/2020,,INSURANCE,,-200,
,,5/1/2020,,LOAN,,-400,
,,5/1/2020,,AUTO INSURANCE,,-150,
,,5/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,5/1/2020,,HYDRO BILL PMT,,-250,
,,5/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,5/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,5/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,5/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,5/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,5/1/2020,,Payment,,-900,
,,5/1/2020,,MONTHLY FEE,,-100,
,,5/1/2020,,STEAM,,-400,
,,5/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,5/1/2020,,CINEPLEX,,-100,
,,5/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,5/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,5/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,5/1/2020,,WINNERS,,-100,
,,6/1/2020,,PAYROLL DEPOSIT,,7000,
,,6/1/2020,,CHEQUE - # 059,,-500,
,,6/1/2020,,INSURANCE,,-200,
,,6/1/2020,,LOAN,,-400,
,,6/1/2020,,AUTO INSURANCE,,-150,
,,6/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,6/1/2020,,HYDRO BILL PMT,,-250,
,,6/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,6/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,6/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,6/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,6/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,6/1/2020,,Payment,,-900,
,,6/1/2020,,MONTHLY FEE,,-100,
,,6/1/2020,,STEAM,,-400,
,,6/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,6/1/2020,,CINEPLEX,,-100,
,,6/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,6/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,6/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,6/1/2020,,WINNERS,,-100,
,,7/1/2020,,PAYROLL DEPOSIT,,5000,
,,7/1/2020,,CHEQUE - # 059,,-500,
,,7/1/2020,,INSURANCE,,-200,
,,7/1/2020,,LOAN,,-400,
,,7/1/2020,,AUTO INSURANCE,,-150,
,,7/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,7/1/2020,,HYDRO BILL PMT,,-250,
,,7/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,7/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,7/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,7/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,7/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,7/1/2020,,Payment,,-900,
,,7/1/2020,,MONTHLY FEE,,-100,
,,7/1/2020,,STEAM,,-400,
,,7/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,7/1/2020,,CINEPLEX,,-100,
,,7/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,7/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,7/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,7/1/2020,,WINNERS,,-100,
,,8/1/2020,,PAYROLL DEPOSIT,,4000,
,,8/1/2020,,CHEQUE - # 059,,-500,
,,8/1/2020,,INSURANCE,,-200,
,,8/1/2020,,LOAN,,-400,
,,8/1/2020,,AUTO INSURANCE,,-150,
,,8/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,8/1/2020,,HYDRO BILL PMT,,-250,
,,8/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,8/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,8/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,8/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,8/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,8/1/2020,,Payment,,-900,
,,8/1/2020,,MONTHLY FEE,,-100,
,,8/1/2020,,STEAM,,-400,
,,8/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,8/1/2020,,CINEPLEX,,-100,
,,8/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,8/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,8/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,8/1/2020,,WINNERS,,-100,
,,9/1/2020,,PAYROLL DEPOSIT,,7000,
,,9/1/2020,,CHEQUE - # 059,,-500,
,,9/1/2020,,INSURANCE,,-200,
,,9/1/2020,,LOAN,,-400,
,,9/1/2020,,AUTO INSURANCE,,-150,
,,9/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,9/1/2020,,HYDRO BILL PMT,,-250,
,,9/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,9/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,9/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,9/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,9/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,9/1/2020,,Payment,,-900,
,,9/1/2020,,MONTHLY FEE,,-100,
,,9/1/2020,,STEAM,,-400,
,,9/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,9/1/2020,,CINEPLEX,,-100,
,,9/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,9/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,9/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,9/1/2020,,WINNERS,,-100,
,,10/1/2020,,PAYROLL DEPOSIT,,3000,
,,10/1/2020,,CHEQUE - # 059,,-500,
,,10/1/2020,,INSURANCE,,-200,
,,10/1/2020,,LOAN,,-400,
,,10/1/2020,,AUTO INSURANCE,,-150,
,,10/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,10/1/2020,,HYDRO BILL PMT,,-250,
,,10/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,10/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,10/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,10/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,10/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,10/1/2020,,Payment,,-900,
,,10/1/2020,,MONTHLY FEE,,-100,
,,10/1/2020,,STEAM,,-400,
,,10/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,10/1/2020,,CINEPLEX,,-100,
,,10/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,10/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,10/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,10/1/2020,,WINNERS,,-100,
,,11/1/2020,,PAYROLL DEPOSIT,,4000,
,,11/1/2020,,CHEQUE - # 059,,-500,
,,11/1/2020,,INSURANCE,,-200,
,,11/1/2020,,LOAN,,-400,
,,11/1/2020,,AUTO INSURANCE,,-150,
